Test Time [s],Displacement [mm],Penetrator Force [mm],vCell [V],tAmbient [C],TC1 near positive terminal [C],TC2 near negative terminal [C],TC3 bottom - bottom [C],TC4 bottom - top [C],TC5 above punch [C],TC6 below punch [C]
0.0,0.0,0.0,4.116042137146,,16.6341876983643,16.7624950408936,16.5356597900391,16.1574153900146,16.3453884124756,16.5191268920898
0.099609375,0.04377501318231203,2.6571880578994795,4.11607217788696,,16.6642112731934,16.7696266174316,16.517297744751,16.1783142089844,16.3659687042236,16.5438709259033
0.19921875,0.11011905735358501,9.05521833896641,4.11610555648804,,16.6473197937012,16.749813079834,16.5167655944824,16.2187004089355,16.3757038116455,16.5564422607422
0.298828125,0.18988427473232106,2.3277164697647095,4.11606359481812,,16.6256465911865,16.7530879974365,16.5380191802979,16.1751098632813,16.365909576416,16.5528545379639
0.3984375,0.27713138842955204,2.46579372882843,4.11609840393066,,16.6470146179199,16.7668209075928,16.5166988372803,16.1832523345947,16.3414287567139,16.5307788848877
0.498046875,0.37097132008057004,3.1748634576797494,4.11608266830444,,16.6259765625,16.748498916626,16.5308170318604,16.1740474700928,16.3503971099854,16.5428161621094
0.59765625,0.46311884943861503,1.4131263494491602,4.11609363555908,,16.6736354827881,16.7561492919922,16.5029640197754,16.2112884521484,16.3762168884277,16.5421237945557
0.697265625,0.5255608120933171,1.52613985538483,4.11609697341919,,16.65700340271,16.7492694854736,16.5535182952881,16.1832942962646,16.3708610534668,16.5274200439453
0.796875,0.5667785990226544,6.994542717933659,4.1160683631897,,16.6313724517822,16.744535446167,16.504674911499,16.2021732330322,16.3713455200195,16.5395011901855
0.896484375,0.5920515732213967,8.52523958683011,4.116042137146,,16.6449089050293,16.7571887969971,16.5306015014648,16.2097930908203,16.3813133239746,16.5331745147705
0.99609375,0.6069781574069562,7.474851250648499,4.11607265472412,,16.6373500823975,16.7310237884521,16.5248928070068,16.1626796722412,16.3740882873535,16.5299034118652
1.095703125,0.6146749301478844,9.18782770633701,4.11607551574707,,16.6501312255859,16.7467498779297,16.5338020324707,16.1542015075684,16.3659610748291,16.4980316162109
1.1953125,0.6187225908433898,5.29204618930817,4.11604309082031,,16.6654663085938,16.7715873718262,16.512134552002,16.2031555175781,16.3828258514404,16.531421661377
1.294921875,0.6210928822838464,5.0154367685318,4.11608839035034,,16.6412391662598,16.7533721923828,16.5332832336426,16.1759147644043,16.3438186645508,16.5324668884277
1.39453125,0.6217488971742564,7.466192841529851,4.11611175537109,,16.6657772064209,16.761209487915,16.5013866424561,16.1972045898438,16.387279510498,16.5369186401367
1.494140625,0.6212583757587704,7.8854366540908805,4.11612319946289,,16.6654529571533,16.7592830657959,16.5393505096436,16.1852035522461,16.3833389282227,16.5244789123535
1.59375,0.6215189659997118,7.62067472934723,4.11608123779297,,16.6650009155273,16.7487602233887,16.5286331176758,16.222297668457,16.3879890441895,16.5403957366943
1.693359375,0.6212915886862898,6.1624337434768695,4.11604928970337,,16.6601257324219,16.7614479064941,16.5146141052246,16.1923542022705,16.3819065093994,16.4950771331787
1.79296875,0.6207454280229281,7.32538092136383,4.1160774230957,,16.6860160827637,16.760311126709,16.5193061828613,16.1685161590576,16.3795394897461,16.5271129608154
1.892578125,0.6202673966981815,6.633172631263739,4.11606740951538,,16.676399230957,16.774974822998,16.5210704803467,16.1858768463135,16.3719902038574,16.5173664093018
1.9921875,0.619850678958755,7.417888283729559,4.11610221862793,,16.6515522003174,16.7625293731689,16.5195007324219,16.1958236694336,16.3870449066162,16.5261325836182
2.091796875,0.6193263770910558,5.38500940799713,4.11605882644653,,16.6588268280029,16.7590656280518,16.5370464324951,16.1947212219238,16.3821430206299,16.5318088531494
2.19140625,0.6182862880450553,7.777435898780829,4.11609983444214,,16.6551208496094,16.7654304504395,16.5501136779785,16.2168045043945,16.3773059844971,16.4942283630371
2.291015625,0.6176572378535634,5.89584934711457,4.11609554290771,,16.6902160644531,16.7687244415283,16.5512599945068,16.1878070831299,16.3653697967529,16.5202198028564
2.390625,0.6173378878884246,7.59105360507965,4.1160774230957,,16.6365203857422,16.7770004272461,16.5170307159424,16.2003841400146,16.3614292144775,16.5517997741699
2.490234375,0.6176529805088644,4.0060607194900495,4.11604785919189,,16.6756687164307,16.7309284210205,16.5263671875,16.1640586853027,16.3856811523438,16.507999420166
2.58984375,0.6177940613270034,8.05039942264557,4.11607789993286,,16.6856441497803,16.7763843536377,16.5079135894775,16.2022571563721,16.3615188598633,16.5267486572266
2.689453125,0.6177250825203369,3.78276741504669,4.11608076095581,,16.6718940734863,16.7568035125732,16.5220394134521,16.185359954834,16.3831653594971,16.5484237670898
2.7890625,0.6176172128107278,9.169600129127511,4.11610269546509,,16.696870803833,16.7562503814697,16.551197052002,16.1894340515137,16.3684501647949,16.528039932251
